text,intent
"hi","greeting"
"hello","greeting"
"hlo bhai","greeting"
"namaste","greeting"
"kaise ho","greeting"
"kese ho","greeting"
"tum kaun ho","identity"
"tum kon ho","identity"
"tera naam kya hai","identity"
"who are you","identity"
"hritik ai kya hai","identity"
"php kya hai","informational"
"python kya hai","informational"
"database kya hota hai","informational"
"mujhe api samjhao","informational"
"is error ko debug karo","coding"
"code fix karo","coding"
"php file check karo","coding"
"console.php kyu nahi chal raha","coding"
"file scan karo","tool_use"
"command run karo","tool_use"
"project map dikhao","tool_use"
"dataset import karo","training"
"ai ko train karo","training"
"scan and learn chalao","training"
"bye","farewell"
"alvida","farewell"
"thank you","farewell"
"shukriya","farewell"
